GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mybatis-hazelcast,org.mybatis.caches.hazelcast,DummyReadWriteLock.DummyLock,9,3,0,0,6,1,6,1,6,1
mybatis-hazelcast,org.mybatis.caches.hazelcast,LoggingHazelcastCache,7,0,0,0,2,0,1,0,1,0
mybatis-hazelcast,org.mybatis.caches.hazelcast,HazelcastClientCache,0,10,0,0,0,3,0,2,0,2
mybatis-hazelcast,org.mybatis.caches.hazelcast,HazelcastCache,0,10,0,0,0,3,0,2,0,2
mybatis-hazelcast,org.mybatis.caches.hazelcast,AbstractHazelcastCache,57,45,11,3,16,15,12,6,5,6
mybatis-hazelcast,org.mybatis.caches.hazelcast,LoggingHazelcastClientCache,7,0,0,0,2,0,1,0,1,0
mybatis-hazelcast,org.mybatis.caches.hazelcast,DummyReadWriteLock,6,8,0,0,2,2,2,1,2,1
